trade_date,indicator_code,value
2010-08-25,SHIBOR_3M,2.4688
2010-08-25,US10Y,2.54
2010-08-26,000300.SH,2850.093
2010-08-26,000985.CSI,3285.196
2010-08-26,SHIBOR_3M,2.4723
2010-08-26,US10Y,2.5
2010-08-27,000300.SH,2858.566
2010-08-27,000985.CSI,3299.987
2010-08-27,SHIBOR_3M,2.4896
2010-08-27,US10Y,2.66
2010-08-30,000300.SH,2915.01
2010-08-30,000985.CSI,3374.498
2010-08-30,SHIBOR_3M,2.5035
2010-08-30,US10Y,2.54
2010-08-31,000300.SH,2903.188
2010-08-31,000985.CSI,3378.093
2010-08-31,SHIBOR_3M,2.512
2010-08-31,US10Y,2.47
2010-09-01,000300.SH,2884.042
2010-09-01,000985.CSI,3347.765
2010-09-01,CPI_YOY,3.6
2010-09-01,M1_YOY,20.9
2010-09-01,M2_YOY,19.0
2010-09-01,PMI_MANUFACTURE,53.8
2010-09-01,PPI_YOY,4.33
2010-09-01,SHIBOR_3M,2.5151
2010-09-01,US10Y,2.58
2010-09-02,000300.SH,2921.393
2010-09-02,000985.CSI,3401.521
2010-09-02,SHIBOR_3M,2.5127
2010-09-02,US10Y,2.63
2010-09-03,000300.SH,2920.205
2010-09-03,000985.CSI,3411.982
2010-09-03,SHIBOR_3M,2.5144
2010-09-03,US10Y,2.72
2010-09-06,000300.SH,2975.09
2010-09-06,000985.CSI,3446.497
2010-09-06,SHIBOR_3M,2.5286
2010-09-07,000300.SH,2983.108
2010-09-07,000985.CSI,3460.921
2010-09-07,SHIBOR_3M,2.5319
2010-09-07,US10Y,2.61
2010-09-08,000300.SH,2980.967
2010-09-08,000985.CSI,3471.414
2010-09-08,SHIBOR_3M,2.5358
2010-09-08,US10Y,2.66
2010-09-09,000300.SH,2926.46
2010-09-09,000985.CSI,3415.419
2010-09-09,SHIBOR_3M,2.538
2010-09-09,US10Y,2.77
2010-09-10,000300.SH,2932.554
2010-09-10,000985.CSI,3434.13
2010-09-10,SHIBOR_3M,2.5388
2010-09-10,US10Y,2.81
2010-09-13,000300.SH,2962.319
2010-09-13,000985.CSI,3479.449
2010-09-13,SHIBOR_3M,2.5418
2010-09-13,US10Y,2.74
2010-09-14,000300.SH,2965.009
2010-09-14,000985.CSI,3486.028
2010-09-14,SHIBOR_3M,2.5512
2010-09-14,US10Y,2.68
