ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
NHCI.NH,20191108,1454.4564,1462.6724,1463.1857,1454.21,1462.6724,-8.2159,-0.0056,25903286,27550796
NHCI.NH,20191107,1462.6724,1467.8009,1471.1521,1462.2114,1467.8009,-5.1285,-0.0035,27139888,27463740
NHCI.NH,20191106,1467.8009,1473.0093,1475.7799,1467.6433,1473.0093,-5.2084,-0.0035,26724542,27592430
NHCI.NH,20191105,1473.0093,1463.673,1473.3687,1462.3724,1463.6699,9.3394,0.0064,23121280,23991710
NHCI.NH,20191104,1463.6699,1462.398,1465.6733,1460.4617,1462.398,1.272,0.0009,20484944,27042552
NHCI.NH,20191101,1462.398,1462.8187,1462.8455,1452.7313,1462.8187,-0.4208,-0.0003,24128128,26772658
NHCI.NH,20191031,1462.8187,1466.3737,1467.8997,1461.5526,1466.3737,-3.5549,-0.0024,22587378,26530810
NHCI.NH,20191030,1466.3737,1462.9924,1467.0835,1459.4075,1462.9924,3.3812,0.0023,22754632,26614004
NHCI.NH,20191029,1462.9924,1462.5936,1466.8374,1458.3235,1462.5936,0.3988,0.0003,20869930,26339886
NHCI.NH,20191028,1462.5936,1468.2398,1473.0335,1459.6619,1468.2398,-5.6461,-0.0038,25026944,26651926
NHCI.NH,20191025,1468.2398,1464.3502,1469.1444,1461.8591,1464.3502,3.8895,0.0027,23937158,26653376
NHCI.NH,20191024,1464.3502,1455.9802,1464.6779,1455.9193,1455.9802,8.37,0.0057,22038582,26283734
NHCI.NH,20191023,1455.9802,1449.9153,1459.7822,1450.1249,1449.9153,6.0649,0.0042,23936752,26432698
NHCI.NH,20191022,1449.9153,1448.9498,1451.635,1443.7321,1449.2096,0.7057,0.0005,22068998,26130346
NHCI.NH,20191021,1449.2096,1450.0923,1452.3345,1442.2938,1450.0923,-0.8827,-0.0006,25148892,26005682
NHCI.NH,20191018,1450.0923,1446.9158,1450.8413,1438.0271,1446.9158,3.1765,0.0022,24711110,25281164
NHCI.NH,20191017,1446.9158,1450.2742,1450.4762,1442.2909,1450.2742,-3.3584,-0.0023,22382856,24862892
NHCI.NH,20191016,1450.2742,1464.6338,1466.5869,1448.6986,1464.6338,-14.3596,-0.0098,24226950,24771284
NHCI.NH,20191015,1464.6338,1470.6323,1467.9096,1458.8613,1470.6323,-5.9985,-0.0041,22401460,24167204
NHCI.NH,20191014,1470.6323,1473.0122,1484.9572,1470.2725,1473.0122,-2.3799,-0.0016,25535156,23643292
NHCI.NH,20191011,1473.0122,1476.6549,1482.7118,1471.1681,1475.7423,-2.7301,-0.0019,15669438,23191156
NHCI.NH,20191010,1475.7423,1470.7124,1476.2388,1469.0789,1470.7124,5.0299,0.0034,21956698,22616436
NHCI.NH,20191009,1470.7124,1469.4266,1478.9804,1469.5624,1469.4266,1.2858,0.0009,21857472,22231282
NHCI.NH,20191008,1469.4266,1462.9974,1474.1615,1461.9252,1470.2749,-0.8483,-0.0006,14242124,20294320
NHCI.NH,20190930,1470.2749,1465.4083,1478.2854,1467.7062,1465.4083,4.8666,0.0033,17901240,17029466
NHCI.NH,20190927,1465.4083,1475.5793,1474.9453,1462.6409,1475.5793,-10.171,-0.0069,21519174,20786742
NHCI.NH,20190926,1475.5793,1479.4592,1483.9716,1470.3458,1479.4592,-3.8799,-0.0026,23418108,19043746
NHCI.NH,20190925,1479.4592,1478.0541,1480.8158,1476.9128,1478.0541,1.4052,0.001,21090234,19481620
NHCI.NH,20190924,1478.0541,1492.5418,1496.5204,1477.3012,1492.5418,-14.4877,-0.0097,25317856,23246150
NHCI.NH,20190923,1492.5418,1479.3978,1493.8462,1479.3978,1479.3978,13.1439,0.0089,25425102,23191444
NHCI.NH,20190920,1479.3978,1484.723,1484.723,1476.9829,1484.723,-5.3252,-0.0036,21711688,23304298
NHCI.NH,20190919,1484.723,1500.7687,1500.9569,1484.0928,1500.7686,-16.0455,-0.0107,23493294,19748884
NHCI.NH,20190918,1500.7686,1513.6054,1513.6054,1499.1456,1513.6054,-12.8368,-0.0085,26505878,22931608
NHCI.NH,20190917,1513.6054,1509.4989,1520.7418,1507.8879,1509.4989,4.1065,0.0027,27730250,23166206
NHCI.NH,20190916,1509.4989,1517.6881,1517.9424,1508.8389,1499.3362,10.1627,0.0068,19067944,22831328
NHCI.NH,20190912,1499.3362,1492.3328,1499.7858,1489.1433,1492.3328,7.0034,0.0047,19138502,19598766
NHCI.NH,20190911,1492.3328,1489.6198,1494.6464,1486.6688,1489.6198,2.713,0.0018,21503706,20035864
NHCI.NH,20190910,1489.6198,1492.0043,1494.3632,1486.2163,1492.0043,-2.3845,-0.0016,23420888,23657868
NHCI.NH,20190909,1492.0043,1472.9784,1492.0463,1472.3063,1472.9784,19.0259,0.0129,31951302,24002182
NHCI.NH,20190906,1472.9784,1485.7566,1488.8195,1472.6532,1485.7566,-12.7782,-0.0086,30322038,23938122
NHCI.NH,20190905,1485.7566,1486.7824,1500.3135,1485.1558,1486.7824,-1.0258,-0.0007,32530944,24785444
NHCI.NH,20190904,1486.7824,1477.8995,1488.1871,1477.7982,1477.8995,8.8828,0.006,28613000,24192150
NHCI.NH,20190903,1477.8995,1471.868,1479.6162,1471.9104,1471.868,6.0315,0.0041,24072428,24146194
NHCI.NH,20190902,1471.868,1461.1178,1473.981,1461.1178,1461.1178,10.7502,0.0074,24874532,24548336
NHCI.NH,20190830,1461.1178,1444.8676,1461.5071,1444.8159,1444.8676,16.2503,0.0112,27393378,24770262
NHCI.NH,20190829,1444.8676,1448.6571,1452.236,1443.3944,1448.6571,-3.7896,-0.0026,25395760,25463156
NHCI.NH,20190828,1448.6571,1439.1315,1449.7244,1439.2451,1439.1315,9.5256,0.0066,26004194,24828054
NHCI.NH,20190827,1439.1315,1444.4523,1446.1779,1437.9784,1444.4523,-5.3208,-0.0037,25151962,24969216
NHCI.NH,20190826,1444.4523,1452.8103,1452.4799,1443.8855,1452.8103,-8.358,-0.0058,29506228,24635112
NHCI.NH,20190823,1452.8103,1447.8903,1453.9059,1441.3701,1447.8903,4.92,0.0034,23053236,24580078
NHCI.NH,20190822,1447.8903,1444.6942,1449.0714,1437.3868,1444.6942,3.1961,0.0022,24479228,24638190
NHCI.NH,20190821,1444.6942,1453.7338,1453.6693,1438.3643,1453.7338,-9.0396,-0.0062,21271206,20868500
NHCI.NH,20190820,1453.7338,1457.5512,1458.3441,1452.5523,1457.5512,-3.8174,-0.0026,19914436,24048478
NHCI.NH,20190819,1457.5512,1453.5811,1461.2385,1451.6365,1453.5811,3.9701,0.0027,20404264,23866348
NHCI.NH,20190816,1453.5811,1456.1997,1458.4663,1450.8655,1456.1997,-2.6187,-0.0018,23464572,23910674
NHCI.NH,20190815,1456.1997,1457.5053,1460.3397,1452.1265,1457.5053,-1.3055,-0.0009,23089708,20224000
NHCI.NH,20190814,1457.5053,1458.0877,1467.4463,1456.9807,1458.0877,-0.5824,-0.0004,35208472,24534762
NHCI.NH,20190813,1458.0877,1457.4895,1461.9995,1453.2084,1457.4895,0.5982,0.0004,26909004,24709464
NHCI.NH,20190812,1457.4895,1450.5845,1458.9689,1442.6251,1450.5845,6.905,0.0048,30666442,24412218
NHCI.NH,20190809,1450.5845,1458.6509,1464.3502,1441.1119,1458.6509,-8.0664,-0.0055,26746126,20970736
NHCI.NH,20190808,1458.6509,1453.554,1466.6195,1453.744,1453.554,5.0969,0.0035,31356308,25030308
NHCI.NH,20190807,1453.554,1462.0818,1467.2721,1451.3115,1463.1991,-9.6451,-0.0066,26912612,24764474
NHCI.NH,20190806,1463.1991,1461.1915,1469.1481,1459.8938,1461.1915,2.0076,0.0014,27072562,24560494
NHCI.NH,20190805,1461.1915,1471.0557,1471.1295,1459.8745,1471.0557,-9.8641,-0.0067,27732188,21001984
NHCI.NH,20190802,1471.0557,1480.5811,1479.8599,1459.1877,1480.5811,-9.5254,-0.0064,31418074,24483864
NHCI.NH,20190801,1480.5811,1493.6558,1493.6558,1480.5043,1493.6558,-13.0747,-0.0088,22467686,25113332
